ID,Term,Definition,Source
agriculture,Agriculture,The cultivation of plants for food or other uses.,
ancestralspirit,Ancestral spirit,"A deceased ancestor who is thought to have had abilities comparable to those currently alive while living, but who acquired supernatural powers after death. Unlike deified ancestors, ancestral spirits have a sphere of influence and concern that is usually confined to their families, and are usually the spirits of those who lived in the recent past.",
atoll,Atoll,"An oceanic island formed from the coral reef surrounding a sunken volcanic island, that has not been subject to tectonic uplift.",
austronesian,Austronesian,"Pertaining to the Austronesian languages, or to peoples that have historically spoken these languages.",
bottomupprocess,Bottom-up process,A process that begins with those of lower social status and spreads upwards to those of higher social status.,
continentalisland,Continental island,An island situated on a continental shelf.,
culture,Culture,"The word “culture” is used in two closely related ways in this database. The first meaning (“culture”, with no article) denotes traditions (beliefs, practices and knowledge) that are transmitted by social learning (Holden & Mace, 2005).  The second and more specific meaning (“a culture”) denotes the set of traditions that are characteristic of a particular group of people, or, conversely, a group of people characterised by a particular set of traditions.",holden-mace-2005
culturehero,Culture hero,A demigod whose actions are used to explain the presence of a particular feature of the physical or social world.,
creationistcreationmyth,Creationist creation myth,A myth concerning the origin of humanity in which humans were created by a supernatural agent.,
deifiedancestor,Deified ancestor,"A human ancestor who acquired godlike powers after death. Unlike ancestral spirits, deified ancestors have spheres of influence and concern that usually extend beyond their families, and are usually believed to have lived in the distant past.",
demigod,Demigod,"A being that is stated or implied to be human or partly human, but who is believed to have had godlike powers while alive.",
evolutionarycreationmyth,Evolutionary creation myth,"A myth concerning the origin of humanity, in which humans arose spontaneously from some other form.",
externalwarfare,External warfare,Warfare with people of a different culture.,
fishing,Fishing,"The catching or harvesting both of true fish and large, motile invertebrates that live in a marine or aquatic environments.",
foreigneducationsystem,Foreign education system,An education system that is not indigenous to the culture being coded.,
foreigngovernmentsystems,Foreign government systems,Systems of government other than those indigenous to the culture. Need not imply political dominance by foreigners – a culture can be politically independent but have a foreign government system.,
gathering,Gathering,The collection of wild plants or invertebrate animals for food or other uses.,
genitalcutting,Genital cutting,A bodily modification involving cutting of the genitals.,
god,god,"a supernatural agent who was not originally a human being, is not identified with or closely tied to a particular physical manifestation, and is more powerful than most human beings can expect to be in this life or the afterlife.",
headhunting,Headhunting,The practice of killing people for the purpose of obtaining their heads.,
highgod,High god,"A high god is a being who created the universe and / or is the ultimate power in the universe (after Swanson, 1960).",swanson1960
humansacrifice,Human sacrifice,"The ritualised killing of a human being, in a non-military context, as a costly sacrifice.",
hunting,Hunting,"The killing of wild vertebrates, on land or in water but excluding fish, for food or other uses.",
immoralbehaviour,Immoral behaviour,Behaviour that harms other members of society and / or is believed to harm society itself.,
impiety,Impiety,Behaviour that directly offends a supernatural agent.,
internalwarfare,Internal warfare,warfare between members of the same culture,
jurisdictionalhierarchy,Jurisdictional hierarchy,"A vertically ordered set of levels of jurisdiction, in which each level has authority over the level of authority beneath it.",
kinshiptapu,Kinship tapu,A tapu concerning relations between (biological or non-biological) relatives.,
languageshift,Language shift,"The adoption of a foreign language by members of an indigenous culture. Coded as low if the indigenous language continued to be the principal means of communication, high if the foreign language became the principal means of communication, and medium if the indigenous and foreign languages were used to a roughly equal extent throughout the postcontact period.",
levelofjurisdiction,Level of jurisdiction,"A leader or group of leaders that has direct authority over a group of people, or over a subordinate leader or group of leaders.",
localcommunity,Local community,"”[t]he maximal group of persons who normally reside together in face-to-face association” (Murdock, 1950)”",murdock1950
mana,Mana,Any cognate of the proto-Oceanic word “*mana”.,
naturegod,Nature god,"a supernatural agent who was not originally a human being, is identified with or closely tied to a particular feature of the natural world, and is more powerful than most human beings can expect to be in this life or the afterlife.",
naturespirit,Nature spirit,"a supernatural agent who was not originally a human being, is identified with or closely tied to a particular feature of the natural world, and is not more powerful than most human beings can expect to be in this life or the afterlife.",
officialsyncretism,Official syncretism,"Syncretism that is practiced, or explicitly endorsed by, a religious institution.",
plantanimaltapu,Plant / Animal tapu,A tapu concerning behaviour towards plants or animals.,
