ID,Name,Description,Datatype,Category,Section,Subsection
7,Island type (island with largest culture population or largest island if unknown),"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Option,Traditional Culture,Physical Environment,Features of Island with Largest Culture Population
10,Estimate of culture population size at relevant time focus,,Int,Traditional Culture,Social Environment,Social Environment
9,Maximum elevation (meters),"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Float,Traditional Culture,Physical Environment,Features of Island with Largest Culture Population
8,Island Size (km²),"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Float,Traditional Culture,Physical Environment,Features of Island with Largest Culture Population
19,Pre-Austronesian population,,Option,Traditional Culture,Isolation,Isolation
92,Syncretism – Unofficial,,Option,Current Culture,Belief (Current),Religious Demographics
2,Number of islands inhabited by culture,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Option,Traditional Culture,Physical Environment,Geographical Range of Culture
94,Christian influence on supernatural belief,,Option,Traditional Culture,Isolation,Isolation
71,Replacement-level immigration,,Option,Post Contact History,Secular History,Demographic and Social Changes
20,Hindu / Buddhist influence on supernatural belief,,Option,Traditional Culture,Isolation,Isolation
17,(Low) contact with other societies (SCCS v 787),,Option,Traditional Culture,Isolation,Isolation
21,Islamic influence on supernatural belief,,Option,Traditional Culture,Isolation,Isolation
25,Animal husbandry as a source of food,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Option,Traditional Culture,Subsistence and Economy,Land-based means of subsistence
26,Land-based hunting performed by individuals,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Option,Traditional Culture,Subsistence and Economy,Land-based means of subsistence
49,Social hierarchy tapu,,Option,Traditional Culture,Belief (Indigenous),Classes of Tapu
67,Genital cutting,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Option,Traditional Culture,Practice (Indigenous),Rites
68,Tooth pulling,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Option,Traditional Culture,Practice (Indigenous),Rites
91,Religious Syncretism – Institutional,,Option,Current Culture,Belief (Current),Religious Demographics
72,Language shift,,Option,Post Contact History,Secular History,Demographic and Social Changes
73,Foreign education systems,,Option,Post Contact History,Secular History,Demographic and Social Changes
74,Foreign government systems,,Option,Post Contact History,Secular History,Demographic and Social Changes
75,Changes in means of subsistence,,Option,Post Contact History,Secular History,Economic Changes
78,Vehicles and roads,,Option,Post Contact History,Secular History,Modern Infrastructure
80,Air travel,,Option,Post Contact History,Secular History,Modern Infrastructure
90,Dominant world religion,,Option,Current Culture,Belief (Current),Religious Demographics
57,Mana and social status,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Option,Traditional Culture,Belief (Indigenous),Mana
40,Belief in god(s),,Option,Traditional Culture,Belief (Indigenous),Supernatural Beings
62,Costly sacrifices and offerings,,Option,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
47,Myth of a primordial pair,,Option,Traditional Culture,Belief (Indigenous),Afterlife and Creation
50,Kinship tapu,,Option,Traditional Culture,Belief (Indigenous),Classes of Tapu
51,Resource management tapu,,Option,Traditional Culture,Belief (Indigenous),Classes of Tapu
54,Mana related to social influence or technical skill,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Option,Traditional Culture,Belief (Indigenous),Mana
58,Mana linked to genealogy,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Option,Traditional Culture,Belief (Indigenous),Mana
69,Loss of autonomy during postcontact period,,Option,Post Contact History,Secular History,Loss of Autonomy
46,Myth of humanity’s creation,,Option,Traditional Culture,Belief (Indigenous),Afterlife and Creation
61,Headhunting,,Option,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
64,Tattooing,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Option,Traditional Culture,Practice (Indigenous),Rites
