ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
5,manam,5,-4.1,,,2
6,manam,6,145,,,2
7,manam,7,2,7-2,,979[39]
8,manam,8,90,,,979[40]
8105,yap,87,0,87-0,,1302[269-272]
62,manam,92,2,92-2,,
61,manam,90,1,90-1,,979[70-71]
27,manam,27,2,27-2,,46[394]
12033,dusun,3,0,,,1527[79]
53,manam,50,0,50-0,,53
54,manam,51,0,51-0,,46[391-396]
4,manam,3,0,,,46[378-379]
7199,sama-dilaut,10,1600,,,1243[21]
73,manam,79,1,79-1,,100[224];979[94]
65,manam,71,1,71-1,,
66,manam,72,1,72-1,,
16957,rennell,143,0,143-0,,457[89-104]
6102,paiwan,2,1,2-1,,1712
9823,erromango,34,1,34-1,,1437[401]
19,manam,19,2,19-2,,15[109]
20,manam,20,0,20-0,,14[Map 2.21]
21,manam,21,0,21-0,,14[Map 2.23]
39,manam,40,0,40-0,,"46;979[4-7, 9-11, 22-23, 30-34, 40-43, 53-58, 157-159]"
16973,tsou,143,0,143-0,,562[139]
2292,futuna,71,0,71-0,,1898
6103,paiwan,3,0,,,1056[192]
67,manam,73,2,73-2,,980[417]
72,manam,78,0,78-0,,2
74,manam,80,1,80-1,,
75,manam,81,3,81-3,,979[70-71]
83,manam,88,2014,,,149
76,manam,82,2,82-2,,979[68-72]
77,manam,83,0,83-0,,979[68-72]
78,manam,84,1,84-1,,
145,moken,54,0,54-0,,23;24;234[261-263]
146,moken,55,0,55-0,,23;24;234[261-263]
147,moken,56,0,56-0,,23;24;234[262-263]
46,manam,64,0,64-0,,46[381-381];52[373-403];979[201-210]
49,manam,68,0,68-0,,52[343-403];979[201-210]
108,moken,26,1,26-1,,27
21111,kei,77,2,77-2,,1878[64-78]
5899,tanimbar,54,0,54-0,,23;24;234[260-261]
5900,tanimbar,55,0,55-0,,23;24;234[260-261]
5901,tanimbar,56,0,56-0,,23;24;234[260-261]
5902,tanimbar,57,0,57-0,,
5903,tanimbar,58,0,58-0,,
10205,futuna-west,50,0,50-0,,
90,moken,8,268,,,31;394
727,eastern-sumbanese,6,120.3,,,1294[4];2
21306,siraya,28,3,28-3,,1894[10-11]
17939,marovo,11,2,11-2,,1752[132]
101,moken,19,2,19-2,,15[109]
6350,wogeo,64,0,64-0,,1093
2495,rennell,88,2014,,,149
5904,tanimbar,64,0,64-0,,"735[168, 171];730[81, 89,, 95, 115, 139]"
10557,gaddang-pagan,42,0,42-0,,1487[92-97]
5905,tanimbar,65,0,65-0,,"735[168, 171];730[81, 89,, 95, 115, 139]"
196,lifou,21,0,21-0,,14[Map 2.23]
152,moken,75,2,75-2,,39
109,moken,27,1,27-1,,27
138,moken,68,0,68-0,,34[199-239]
121,moken,39,0,39-0,,31
6105,paiwan,5,22.5,,,1712;2
2170,motu,42,1,42-1,,413[54]
107,moken,25,1,25-1,,"27[3, 6]"
6106,paiwan,6,120.9,,,1712;2
88,moken,6,98.3,,,31;394;2
730,eastern-sumbanese,8,11153,,,1294[3];170
6739,rapa-nui,61,0,61-0,,"1203[149-151, 329-343]"
807,kedang,3,0,,,745[131]
21112,kei,71,0,71-0,,1878[44-46]
21113,kei,72,2,72-2,,1878[35]
225,lifou,61,0,61-0,,59
10995,ata-tana-aai,73,3,73-3,,1588[24]
151,moken,74,1,74-1,,39;1310
154,moken,77,2,77-2,,1174[231];39
21307,siraya,29,3,29-3,,1894[10-11]
140,moken,49,0,49-0,,
141,moken,50,0,50-0,,
161,moken,84,3,84-3,,
160,moken,83,0,83-0,,"1418[44, 45];42"
