Culture	Culture_Notes	Glottocode	v1.Traditional_Time_Focus	v1.Source	v2.God(s)	v2.Source	v3.Nature_god(s)	v3.Source	v4.Deified_ancestor(s)	v4.Source	v5.Ancestral_spirits	v5.Source	v6.Nature_Spirits	v6.Source	v7.Supernatural_punishment_for_impiety	v7.Source	v8.Primordial_pair	v8.Source	v9.Myth_of_humanity’s_creation	v9.Source	v10.The_actions_of_others_after_one_has_died_can_affect_the_nature_of_one's_afterlife	v10.Source	v11.One's_actions_while_living_can_affect_the_nature_of_one's_afterlife	v11.Source	v12.Culture_hero(es)	v12.Source	v13.Forces_of_nature_are_controlled_by_or_imbued_with_the_supernatural	v13.Source	v14.Social_hierarchy_tapu	v14.Source	v15.Kinship_tapu	v15.Source	v16.Resource_management_tapu	v16.Source	v17.Mana_and_social_status	v17.Source	v18.Mana_related_to_social_influence_or_technical_skill	v18.Source	v19.Mana_linked_to_genealogy	v19.Source	v20.Mana_as_a_personal_quality	v20.Source	v21.Mana_as_a_spiritual_or_religious_concept	v21.Source	v22.Pre-Austronesian_population	v22.Source	v23.Christian_influence_on_supernatural_belief	v23.Source	v24.Hindu_/_Buddhist_influence_on_supernatural_belief	v24.Source	v25.Contact_with_other_cultures	v25.Source	v26.Islamic_influence_on_supernatural_belief	v26.Source	v27.Distance_to_closest_landmass_inhabited_by_a_different_culture_(km)	v27.Source	v28.Distance_to_nearest_continent_(km)	v28.Source	v29.Longitude	v29.Source	v30.Latitude	v30.Source	v31.Number_of_islands_inhabited_by_culture	v31.Source	v32.Island_type_(island_with_largest_culture_population_or_largest_island_if_unknown)	v32.Source	v33.Maximum_elevation_(meters)	v33.Source	v34.Island_Size_(km²)	v34.Source	v35.Costly_sacrifices_and_offerings	v35.Source	v36.Headhunting	v36.Source	v37.Political_and_religious_differentiation	v37.Source	v38.Largest_religious_community	v38.Source	v39.Genital_cutting	v39.Source	v40.Tooth_pulling	v40.Source	v41.Tattooing	v41.Source	v42.Scarification	v42.Source	v43.Piercing	v43.Source	v44.Population	v44.Source	v45.Importance_of_Matrilateral_descent	v45.Source	v46.Importance_of_Patrilateral_descent	v46.Source	v47.Polygamy	v47.Source	v48.Marital_residence	v48.Source	v49.Kinship_system	v49.Source	v50.Population_of_largest_political_community	v50.Source	v51.Conflict_within_community	v51.Source	v52.(No)_internal_warfare	v52.Source	v53.(No)_external_warfare	v53.Source	v54.Metalworking	v54.Source	v55.Animal_husbandry_as_a_source_of_food	v55.Source	v56.Land-based_hunting_performed_by_individuals	v56.Source	v57.Land-based_gathering	v57.Source	v58.Land-based_hunting_performed_by_one_or_more_groups	v58.Source	v59.Agriculture_/_Horticulture	v59.Source	v60.Water-based_gathering	v60.Source	v61.Fishing_and_water-based_hunting_performed_by_one_or_more_groups	v61.Source	v62.Fishing_and_water-based_hunting_performed_by_individuals	v62.Source	v63.Trade_/_wage_labour_as_a_source_of_food	v63.Source	v64.Role_of_social_status_in_conversion_process	v64.Source	v65.Use_of_force_in_conversion	v65.Source	v66.Adoption_of_a_world_religion	v66.Source	v67.Resident_missionary_involvement_in_conversion_process	v67.Source	v68.Syncretic_religious_movements	v68.Source	v69.Immigration	v69.Source	v70.Language_shift	v70.Source	v71.Foreign_education_systems	v71.Source	v72.Foreign_government_systems	v72.Source	v73.Changes_in_means_of_subsistence	v73.Source	v74.Exportation_of_goods_to_other_cultures	v74.Source	v75.Vehicles_and_roads	v75.Source	v76.Air_travel	v76.Source	v77.Sea_port	v77.Source	v78.Loss_of_political_autonoomy	v78.Source	v79.Nature_of_loss_of_autonomy	v79.Source	v80.Contemporary_Time_Focus	v80.Source	v81.Unofficial_religious_syncretism	v81.Source	v82.Institutional_religious_syncretism	v82.Source	v83.Dominant_world_religion	v83.Source
Maohi	The indigenous people of the Society Islands, often known as 'Tahitians' after the largest island in the group.	tahi1242	1766	oliver1974[3-5]	3	oliver1974[56-57, 884, 907, 912]	2	oliver1974[56-57]	2	oliver1974[61-62]	2	oliver1974[61-62]	1	oliver1974[47-122]	1	oliver1974[120]	1	oliver1974[48-49, 52-53]	2	oliver1974[48-53]	0	oliver1974[526]	1	oliver1974[526]	2	oliver1974[53-54, 62]	1	oliver1974[69]	1	oliver1974[784, 1040]	1		1	oliver1974[67]	1	oliver1974[68-69]	1	oliver1974[68-69]	3		1	oliver1974[68-69]	1	oliver1974[69]	0	bellwood_1995[109]	0	oliver1974[3-5]	0	cribb2000[Map 2.21]	1	oliver1974[12]	0	cribb2000[Map 2.23]	188.8	daft-logic-distance-calculator2014; ethnologue-map-of-french-polynesia2014	5668	daft-logic-distance-calculator2014	-149.4	oliver2002[7]; google-mapsnone	-17.6	oliver2002[7]; google-mapsnone	4	oliver2002[7, 12]	2	oliver2002[7, 12]	2237	oliver2002[7, 12]	1040	oliver2002[7, 12]	1	oliver1974[90]	0	oliver1974[47-122, 375-408]	2	oliver1974[869]	4	oliver1974[881-882]	2	oliver1974[434]	0	oliver1974[152-161, 431-445]	2	oliver1974[431-434]	0	oliver1974[152-161, 431-445]	1	oliver1974[157, 431-445]	85000	oliver1974[7-46]; mcarthur1967[235-279]; rallu1991; 2007rallu; hamilton-kahn2007	2	oliver1974[617, 620]	3	oliver1974[620]	3	oliver1974[463-465)]	3	oliver1974[800-801]	4	ferdon1991[306]	4	oliver1974[1173]	4	oliver1974[967-970]	2	oliver1974[387-388]	4	oliver1974[375-408]	0	oliver1974[133-151]	2	oliver1974[270-278]	1	oliver1974[278-281]	3	oliver1974[242-243, 245-248]	1	oliver1974[278-281]	4	oliver1974[234]	2	oliver1974[282-283]	3	oliver1974[281-303]	3	oliver1974[281-303]	1	oliver1974[229-234]	1	ferdon1991[305]	0	ferdon1991[305]	3	ferdon1991[307]	2	oliver1974[4]; ferdon1991[305]	1	newbury1980[62]; foster-west-2020	1	foster-west-2020	2	foster-west-2020	3	foster-west-2020	2	finney1973[18]; foster-west-2020	3	foster-west-2020	2	foster-west-2020	2	foster-west-2020	2	foster-west-2020	1	foster-west-2020	3	finney1973[18]	2	finney1973[18]	2020	foster-west-2020					1	foster-west-2020
Pohnpei	Pohnpei is a high island in Micronesia. It is famous for its enormous megalithic structures, which were formerly religious sites. The most impressive of these had, however, been abandoned by the time the islanders came into regular contact with Europeans. Pohnpei is believed to mean 'upon a stone altar', a reference to the myth that the founding settlers had built up the island, with the help of the gods, from an enormous altar.	pohn1238	1853	dobbin2011[70-103]	2	dobbin2011[70-103]	2	dobbin2011[70-103]	2	dobbin2011[77]	1	dobbin2011[70-103]	1	dobbin2011[70-103]	1	dobbin2011[92]	0		0	hanlon1988[4]	0	dobbin2011[79-80]	0	dobbin2011[79-80]	1	hanlon1988[4-6]; dobbin2011[70-103]	1	dobbin2011[78]	1	riesenberg-1968[58]	1	riesenberg-1968[59]	1	riesenberg-1968[60]	1	keesing1984; petersen1990[40]; blust2007	1	keesing1984	0	keesing1984; blust2007	1	keesing1984; petersen1990[40]	1	keesing1984	0	bellwood_1995[109]	1	dobbin2011[70-103, 81]	0	cribb2000[2.21]	1	dobbin2011[81]	0	cribb2000[2.23]	156.7	ethnologue-map-micronesia-2014; daft-logic-distance-calculator2014	2603	hanlon1991[267]	158.2	hanlon1991[267]; google-mapsnone	6.9	hanlon1991[267]; google-mapsnone	1	hanlon1991[267]	2	hanlon1991[267]	778	hanlon1991[267]	336.7	hanlon1991[267]	1	dobbin2011[79]	0	riesenberg-1968[60-62]; dobbin2011[70-103]	1	dobbin2011[70-103]	3	hanlon1988[80-93]	2	christian1899[74]; hanlon1984[41]	0	christian1899[74, 122-124]	2	hanlon1988[40-41]	1	christian1899[74]	1	christian1899[74, 123]	10000	hanlon1991[267]	3	hanlon1988[39]	1	hanlon1988[39]	3	hanlon1991[268-269]	3	hanlon1991[269]	1	hanlon1991[269]	3	hanlon1984[267]; hanlon1988[39]	2		2	hanlon1988[44]	3	hanlon1988[3-86]			2	christian1899[73]	2	christian1899[125]	2	murrill1948[155]			3	christian1899[73]; murrill1948[155]	3	christian1899[73]	2	christian1899[73, 126-127]	3	christian1899[73, 126-127]	2	hanlon1991[268]	3	hezel1982[142-158, 143, 156]	0	hanlon1984	3	hanlon1991[269]; machiko2002[90]	2	hanlon1984[41]			3	hanlon1988[206]			3	foster-hezel2020	2	petersen1990[7]	2	foster-hezel2020	1	hanlon1991[268]; foster-hezel2020	2	foster-hezel2020	2	pohnpei2016	1	foster-hezel2020	3	petersen1990[7]	2	petersen1990[7]; hanlon1988[144-145, 206]	2014						1	foster-hezel2020
Seniang	A district in Southern Malekula, famously studied by Bernard Deacon in the 1920s.	sout2857	1895	deacon1934; larcom1991[164]	0	deacon1934[44-45, 547-552]	2	deacon1934[44-45, 547-552]	2	deacon1934	1	deacon1934	1	deacon1934[44-46, 547-552]	1	deacon1934[45]	0	deacon1934[44-46]	0	deacon1934[44-46, 617]	1	deacon1934[552-558]	1	deacon1934[552-558]	1	deacon1934[44-46, 617]	1	deacon1934[663]	1	deacon1934[273-274]	1	deacon1934[85]	1	deacon1934[641]			1	blust2007; keesing1984; blevins2008			1	blust2007; keesing1984; blevins2008	0	blust2007; keesing1984; blevins2008	0	bellwood_1995[109]	0	larcom1991[164]	0	cribb2000[Map 2.21]	1	deacon1934[5-6]	0	cribb2000[Map 2.23]	0	deacon1934[5-6]	1793	deacon1934[11]; daft-logic-distance-calculator2014	167.4	deacon1934[11]; google-mapsnone	-16.5	deacon1934[11]; google-mapsnone	1	deacon1934[11]	2	malakula2013	879	clarke-bedford[64]	2041	clarke-bedford[64]	0	deacon1934	0	deacon1934	3	deacon1934[47-48, 272-273, 693-694]	4	deacon1934[640]	2	deacon1934[244]	2	deacon1934[145]	0	deacon1934	0	deacon1934	2	deacon1934[243]			1	deacon1934[52]	3	deacon1934[52]	3	deacon1934[233]	3	deacon1934[52]	1	larcom1991[165]	1	deacon1934[47-48, 53, 71]	4	deacon1934[165, 212]	2	deacon1934[212-213]	1	deacon1934[212-230]	0	deacon1934[172-211]	1	deacon1934[16-17]	1	deacon1934[16, 192]	1	deacon1934[16-17, 172-211]	1	deacon1934[16, 192]	4	deacon1934[16]	1	deacon1934[16]	1	deacon1934[16, 189-191]	2	deacon1934[16, 189-191]	1	deacon1934[199-211]			0	larcom1991[164]	3	larcom1991[164, 166]	2	larcom1991[164]			0		2		3	larcom1991[165]; adams-foster2021	2	larcom1991[166]											2	larcom1991[164, 166]	0	larcom1991[164]	2014						1	
Varisi	Choiseul (Lauru) is a large island in the western Solomons. Varisi is one of the (according to Ethnologue) four languages spoken here. Scheffler's ethnography of Choiseul Island 'pertains only to the Varisi area', but given the cultural uniformity of Choiseul, 'it is probably valid in general terms for the island as a whole' (Scheffler, 1965, p. v)	vari1239	1900	scheffler1965[v]	2	scheffler1965[242-245]	2	scheffler1965[242-245]	2	scheffler1965[246-248, 250-251]	2	scheffler1965[246-248]	1	scheffler1965[240-253, 246-247]	1	scheffler1965[242-243]	0	scheffler1965[9, 240-253]	0	scheffler1965[9]	1	scheffler1965[247]	0	scheffler1965[247-248]	1	scheffler1965[240-253, 241]	1	scheffler1965[251]	1	scheffler1965[183-184]	1	scheffler1965[78, 82]	0	scheffler1965[4-5, 240-253]	1	scheffler1965[242-243, 250-251]	1	scheffler1965[242-243]	3	scheffler1965[179-180, 250-251]	1	scheffler1965[242-243]	1	scheffler1965[242-243]	2	bellwood_1995[109]	1	scheffler1965[14-24]	0	cribb2000[Map 2.21]	1	scheffler1965	0	cribb2000[Map 2.21]	0	scheffler1965[8]	1520	scheffler1965[8]	156.7	scheffler1965[8]	-6.8	scheffler1965[8]; google-mapsnone	1	scheffler1965[1-3]	2	mclatchey-et-al2005[213]	1060	mclatchey-et-al2005[213]	3086	mclatchey-et-al2005[215]	1	scheffler1965[244-245,  252]	0	scheffler1965[252-253]	2	scheffler1965[240-253, 244, 246, 251]	2	scheffler1965[240-253, 244, 250-251]					0						1000	scheffler1965[6-7]; mcdonald2009[7-8]	2	scheffler1965[180-181]	3	scheffler1965[85, 118]			3	scheffler1991[39]	4	scheffler1991[39]	2		3	scheffler1965[220]	2	scheffler1965	2	scheffler1965[89-91, 216-239]	0	bellwood-et-al-1975	1	scheffler1991[38]; scheffler1965[5]	2	scheffler1991[38]; scheffler1965[4-5]	3	scheffler1965[9]	1	scheffler1965[38]; scheffler1965[4-5]	4	scheffler1991[38]; scheffler1965[9-11]	1	scheffler1965[9]	1	scheffler1965[5]	1	scheffler1965[5]	0	scheffler1965[9-14]	3	scheffler1965[44]	0	mcdonald2009	3	mcdonald2009[44]	2	mcdonald2009[45]	0	scheffler1965[1-38]	0	mataki-et-al2013[11]; rowling-et-al1995[618]	1	mclatchey-et-al2005[220]; mataki-et-al2013[11]	3	dorovolomo2009[35]	1	mataki-et-al2013[12]	2	mataki-et-al2013[30]	2	mclatchey-et-al2005[233]; lipsett-moore-et-al2010[6]	0	lipsett-moore-et-al2010[6]; mataki-et-al2013[31]	1	mclatchey-et-al2005[224]	0	lipsett-moore-et-al2010[6]	2	scheffler1964[399]; mataki-et-al2013[12]	2	scheffler1965[19-20]	2014						1	mataki-et-al2013[11-12]
Aeta	'Aeta' is one of the ethonyms given to the Negritos living in the Zambales mountains of western Luzon. The many Negrito groups of the Philippines share a distinctive phenotype that sets them apart from the majority of other Filipinos. Although many Negrito groups have historically been hunter-gatherers, the Aeta have a long history of farming.	boto1242	1903	reed1904[9]			2	reed1904[65-67]			2	reed1904[48, 65]			1	reed1904[65]											1	reed1904[63-64]									0	blevins2008			0	blevins2008	0	blevins2008	2	bellwood_1995[109]	1		0	cribb2000[Map 2.21]	1	reed1904[44]	0	cribb2000[Map 2.23]	0	reed1904[Plate II]	902	reed1904[Plate II]	120.4	reed1904[Plate II]	15.3	reed1904[Plate II]	1	reed1904[Plate II]							1	reed1904[65]							0	reed1904[33-37]	0	reed1904[33-37]	0	reed1904[36-37]	1	reed1904[36-37]	1	reed1904[36-38]	6000	reed1904[30-32]					3	reed1904[60]					2	reed1904[30-31, 70]	4	reed1904[63]	1	reed1904[70]	1	reed1904[68-71]	0	reed1904[43-44]	0	reed1904[39-48]	1	reed1904[44-48]	3	reed1904[40-41]	3	reed1904[44-48]	3	reed1904[41, 42]	0	reed1904[39-48]	1	reed1904[48]	2	reed1904[48]	1	reed1904[43-44]																																								
Ajie	The indigenous people of New Caledonia lacked an ethnonym for themselves prior to European contact. They are known today as Canaques or Kanaks, an exonym derived from the Hawaiian 'kanaka'. Although they speak over 30 languages, the Kanak people share a similar culture. The Ajie-speaking Kanaks of the Houailou Valley were described in detail by the French missionary / ethnographer Maurice Leenhardt, who oversaw their conversion to Christianity in the early twentieth century.	ajie1238	1902	clifford1982[1]; leenhardt1979	0	leenhardt1930[213-234]; ogier-guindo2011[4]	2	leenhardt1979[44, 57-58]	2	leenhardt1979[27-30, 34, 39, 50]	2	leenhardt1979[27-30, 34, 39, 50]	2	leenhardt1979[44, 57-58]	1	leenhardt1979[58]					1	ogier-guindo2011[8]	0	ogier-guindo2011[4-13]	2	leenhardt1979[28-29, 34]	1	leenhardt1930[228]	1	leenhardt1979[111]	1	leenhardt1922[24-25]	1				1	blevins2008[255]			1	blevins2008[255]	0	blevins2008[255]	0	bellwood_1995[109]	1	winslow1991[7]	0	cribb2000[Map 2.21]	1	riesenfeld1950[543]	0	cribb2000[Map 2.23]	0	winslow1991[7]	1345	winslow1991[7]; daft-logic-distance-calculator2014	165.6	winslow1991[7]; google-mapsnone	-21.3	winslow1991[7]; google-mapsnone	1	winslow1991[7]	4	murienne-et-al2005[2]	1618	clarke-bedford[64]	16750	clarke-bedford[64]	1	leenhardt1930[228]	0	leenhardt1930[34-46, 143-252]	1	clifford1982[88]; leenhardt1979[108]	3	ogier-guindo2011; leenhardt1930[146-147, 161]	2	leenhardt1930[133]			1	leenhardt1930[40, 135-142]					1500	winslow1991[7]; shineberg1983	2	clifford1982[41, 87-88]	2	clifford1982[41, 87-88]	3	winslow1991[8-9]	3	clifford1982[41]					3	naepels1998[192-197]	1	clifford1982[41]	3	clifford1982[41]	0	bellwood-et-al-1975	0	winslow1991[7-8]	2	patouillet1873[106]	2	winslow1991[7-8]; patouillet1873[101]	0	patouillet1873[106]	4	winslow1991[7-8]; patouillet1873[101]	2	winslow1991[7]	2	winslow1991[7]	1		3	winslow1991[8]	1	dauphine1999[116-119]	0	dauphine1999[111-127]	3	lenormand1953[253-254]; winslow1991[9]	2	naepels1998[42-43]; winslow1991[9]	0	dauphine1999[111-127]	2	winslow1991[8]; poret2007[62]	2	poret2007[63-64]	3	central-intelligence-agency-new-caledonia2013	2	lenormand1953[255]; central-intelligence-agency-new-caledonia2013	3	winslow1991[8]	2	winslow1991[8]	2		2		1		3	lenormand1953[255]; central-intelligence-agency-new-caledonia2013	1	naepels1998[39-40]	2014						1	ember-ember2001[1583-1589]
Alune	The Alune are a language community living in western Seram. Like many peoples of the Central Maluku area, they traced their origins to the mythical 'Nunusaku' tree.	alun1238	1917	boulan-smit-1998[1, 40, 65-66]													0	boulan-smit-1998[106-107]	1	boulan-smit-1998[106-107]	1	boulan-smit-1998[259]					1	boulan-smit-1998[116, 351]			1	boulan-smit-1998[226]													2	bellwood_1995[109]	1	boulan-smit-1998[29]	1	cribb2000[Map 2.21]	1	boulan-smit-1998[29, 73]	1	boulan-smit-1998[29]	0	boulan-smit-1998[2]	946	collins-1983[35]; daft-logic-distance-calculator2014	128.5	boulan-smit-1998[Map 1.2]	-3.1	boulan-smit-1998[Map 1.2]	1	boulan-smit-1998	4	boulan-smit-1998[7]	3027	boulan-smit-1998[8]	17746	boulan-smit-1998[7]	1	boulan-smit-1998[259]	1	boulan-smit-1998[46-47]	2	boulan-smit-1998[138-149]															2	boulan-smit-1998[vi, 87]	3	boulan-smit-1998[vi, 4]							2	boulan-smit-1998[40, 72, 83, 170, 284]			2	boulan-smit-1998[29-30, 44-45]	2	boulan-smit-1998[29-69]			0	boulan-smit-1998[13-19]	2	boulan-smit-1998[13-19]	3	boulan-smit-1998[13-119]	4	boulan-smit-1998[13-19]	3	boulan-smit-1998[13-19]	1	boulan-smit-1998[18-19]	2	boulan-smit-1998[13-19]	1	boulan-smit-1998[13-19]	0	boulan-smit-1998[13-19]	3	boulan-smit-1998[65-66]	1	boulan-smit-1998[65-66]	3	boulan-smit-1998[8]	1	boulan-smit-1998[65-66]	0	boulan-smit-1998[65-66]					3	boulan-smit-1998[66]	2	boulan-smit-1998[40]											3	boulan-smit-1998[40]	2	boulan-smit-1998[40]								
Ami	The Ami or Amis are the largest Taiwanese aboriginal ethnic group. Their homeland is in the east of the island, between the Taitung rift valley and the Pacific Ocean. Unlike most other Taiwanese aborigines, the Ami have a myth describing their migration from overseas.	amis1246	1899	lebar1975[117]; chen-coe1954; er-wei1974	2	chen-coe1954; er-wei1974	2	chen-coe1954; er-wei1974	2	chen-coe1954	1	chen-coe1954; er-wei1974	1	chen-coe1954; er-wei1974	1	er-wei1974	0	chen-coe1954; er-wei1974	0	chen-coe1954; er-wei1974	0	er-wei1974	2	er-wei1974	0	chen-coe1954; er-wei1974	1	er-wei1974	0	chen-coe1954; er-wei1974	1	mabuchi1971					0	blust2007; blevins2008; keesing1984			0	blust2007; blevins2008; keesing1984	0	blust2007; blevins2008; keesing1984	2	bellwood_1995[109]	1		1	cribb2000[2.21]	1	lebar1975[117]	1	cribb2000[2.23]	0	lebar1975[116]	306.7	blundell2000[44, 182]; daft-logic-distance-calculator2014	121.4	lebar1975[117]; google-mapsnone	23.4	lebar1975[117]; google-mapsnone	1	lebar1975[116]	4	copper2021	3952	ding-et-al2005[300]	32260	ding-et-al2005[300]			1	lebar1975[121]	2	lebar1975[120-121]; chen-coe1954	2	lebar1975[120-121]; chen-coe1954											30000	alvarez-1927	3	lebar1975[119]	1	lebar1975[119]	1	lebar1975[119]	1	lebar1975[119]			3	lebar1975[118, 120]; mabuchi1971[133]	2	lebar1975[121]	1	lebar1975[121]; mabuchi1971[133]	1	lebar1975[121]			1	lebar1975[118]	0	lebar1975[118]	0	lebar1975[118]	2	lebar1975[118]	4	lebar1975[118]	0	lebar1975[118]	2	lebar1975[118]	2	lebar1975[118]	0	lebar1975[118-119]	3	shiun-wey2003[262-364]	0	shiun-wey2003[262-266]	3	lebar1975[117]; shiun-wey2003[260]	2	shiun-wey2003[263-264]							3	copper2021	2	lebar1975[117]			2		2	copper2021	2	copper2021	1	copper2021	3	lebar1975[117]			2014		2	shiun-wey2003[265-266]			1	shiun-wey2003[277]
Aneityum	Aneityum is the southernmost island of Vanuatu. While many of Vanuatu's islands are linguistically diverse, the people of Aneityum constitute a single ethnolingustic group. Among other things, Aneityum is notable for having suffered one of the worst cases of depopulation in the Pacific following European contact.	anei1239	1848	spriggs-1981[21]	2	patterson-1882[128-129]	0	patterson-1882[27-32]	2	spriggs-1981[58, 6.11]	0	patterson-1882[27-32]; spriggs-1981[6.11]			1	spriggs-1981[3.5]					1	patterson-1882[131-132]	2	patterson-1882[131-132]			1	patterson-1882[130]	1	spriggs-1981[59-60]			1	spriggs-1981[60]											0	bellwood_1995[109]			0	cribb2000[Map 2.21]	1	spriggs-1985	0	cribb2000[Map 2.23]	63.7	spriggs-1981[11]; daft-logic-distance-calculator2014	1808	spriggs-1981[11]; daft-logic-distance-calculator2014	169.8	spriggs-1981[11]	-20.2	spriggs-1981[11]	1	spriggs-1981[11]	2	spriggs-1981[11]	852	spriggs-1981[12]	160	spriggs-1981[12]	1	spriggs-1981[59]	0	spriggs-1981	1	spriggs-1981[59-60, 64-65, 6.2]	3	spriggs-1981[55, 58-60]											4000	spriggs-1981[70-92]			3	spriggs-1981[58]	2	spriggs-1981[59]					2	spriggs-1981[57, 90]			3	spriggs-1981[63-64]	4	spriggs-1981[55-66]; spriggs-1985	0	spriggs-1981[31]	1	spriggs-1981[19, 3.2]	1	spriggs-1981[19-20, 3.2]	4	spriggs-1981[3.2]	1	spriggs-1981[19-20, 3.2]	4	spriggs-1981[86, 3.2]	2	spriggs-1981[20, 3.2]	2	spriggs-1981[20, 3.2, 3.3]	2	spriggs-1981[20, 3.2]	0	spriggs-1981[3.9]	5	spriggs-1981[63, 6.2]	0	spriggs-1985	3	spriggs-1985	2	spriggs-1985	0	spriggs-1985											2	spriggs-1981[31-32]											2014							
Anuta	Anuta is one of the islands traditionally known as the 'Polynesian Outliers'. Now politically part of the Solomon Islands, it is noteworthy for being one of the smallest inhabited islands in the Pacific. Its people constitute a single ethnolinguistic group.	anut1237	1915	feinberg1991[16]; feinberg-1995[267]	1	feinberg-1995	1	feinberg-1995	3	feinberg-1995	1	feinberg-1995	1	feinberg-1995	1	feinberg-1995									1	feinberg-1995	1	feinberg-1995	1	feinberg1991[15]					2	feinberg-1995	1	blust2007; feinberg-1995	3	feinberg-1995; feinberg1991[14]	1	blust2007; feinberg-1995	1	feinberg-1995	0	bellwood_1995[109]			0	cribb2000[Map 2.21]	1	feinberg1991[13]	0	cribb2000[Map 2.23]	133.5	feinberg1991[13]; daft-logic-distance-calculator2014	2341	daft-logic-distance-calculator2014	169.8	feinberg1991[13]; google-mapsnone	-11.6	feinberg1991[13]; google-mapsnone	1	feinberg1991[13]	2	feinberg1991[13]	78	feinberg1991[13]	0.4	kirch-2002[72]			0	feinberg1991[15]	1	feinberg1991[15]	2	feinberg1991[13-15]; feinberg1988	2	feinberg1991[15]			1	feinberg1991[15]					62	yen-et-al1973[4]	1	feinberg1991[14]	3	feinberg1991[14]	2	feinberg1991[14]	3	feinberg1991[14]	5	feinberg1991[14]	1	feinberg1991[15]	4	feinberg1998[34]	4	feinberg-2011[28-34]	4	feinberg-2011[34-38]	0	bellwood-et-al-1975	0	kirch-2002[76]	1	kirch-2002[76]	1	kirch-2002[74, 76]	0	kirch-2002[76]	4	kirch-2002[74]	3	kirch-2002[76]	3	kirch-2002[76]	3	kirch-2002[76]	0	kirch-2002			0	feinberg-2011[31]	3	feinberg-2011[31]	1	feinberg-2011[31]	0	feinberg-1995							1	feinberg1991[15]											1	feinberg1991[15]			2014						1	feinberg-1995[286]
